0,1,2,4,status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
HNRNPH2,ENSG00000126945,ENSP00000361927,1,9.0,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2,ENSG00000126945,X,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,19.0
CASZ1,ENSG00000130940,ENSP00000366221,1,9.0,CASZ1,castor zinc finger 1,ENSG00000130940,1,Rare Single Gene Mutation,1.0,0.0,9.55,7.0
NEXMIF,ENSG00000050030,ENSP00000055682,1,9.0,NEXMIF,neurite extension and migration factor,ENSG00000050030,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,34.0
NR3C2,ENSG00000151623,ENSP00000350815,1,9.0,NR3C2,"Nuclear receptor subfamily 3, group C, member 2",ENSG00000151623,4,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,12.0
ATRX,ENSG00000085224,ENSP00000362441,1,9.0,ATRX,alpha thalassemia/mental retardation syndrome X-linked,ENSG00000085224,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,33.0
TEK,ENSG00000120156,ENSP00000369375,1,9.0,TEK,TEKreceptortyrosine kinase,ENSG00000120156,9,Rare Single Gene Mutation,1.0,0.0,2.0,3.0
ZNF462,ENSG00000148143,ENSP00000277225,1,9.0,ZNF462,Zinc finger protein 462,ENSG00000148143,9,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,10.6,12.0
BCKDK,ENSG00000103507,ENSP00000219794,1,9.0,BCKDK,Branched chain ketoacid dehydrogenase kinase,ENSG00000103507,16,Rare Single Gene Mutation,1.0,0.0,3.1,8.0
BCL11A,ENSG00000119866,ENSP00000496168,1,9.0,BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),ENSG00000119866,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,9.15,26.0
SLC9A6,ENSG00000198689,ENSP00000487486,1,9.0,SLC9A6,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",ENSG00000198689,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,22.0
KATNAL2,ENSG00000167216,ENSP00000508137,1,9.0,KATNAL2,Katanin p60 subunit A-like 2,ENSG00000167216,18,"Rare Single Gene Mutation, Functional",1.0,0.0,4.1,15.0
PHF3,ENSG00000118482,ENSP00000262043,1,9.0,PHF3,PHD finger protein 3,ENSG00000118482,6,Rare Single Gene Mutation,1.0,0.0,9.75,5.0
ARX,ENSG00000004848,ENSP00000368332,1,9.0,ARX,aristaless related homeobox,ENSG00000004848,X,"Rare Single Gene Mutation, Syndromic",1.0,1.0,13.8,27.0
ASXL3,ENSG00000141431,ENSP00000269197,1,9.0,ASXL3,Additional sex combs like 3 (Drosophila),ENSG00000141431,18,"Rare Single Gene Mutation, Syndromic",1.0,1.0,28.85,49.0
ARHGEF9,ENSG00000131089,ENSP00000500715,1,9.0,ARHGEF9,Cdc42 guanine nucleotide exchange factor (GEF) 9,ENSG00000131089,X,"Rare Single Gene Mutation, Syndromic",1.0,1.0,14.2,17.0
LDB1,ENSG00000198728,ENSP00000501277,1,9.0,LDB1,LIM domain binding 1,ENSG00000198728,10,Rare Single Gene Mutation,1.0,0.0,4.0,3.0
ALDH5A1,ENSG00000112294,ENSP00000350191,1,9.0,ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",ENSG00000112294,6,"Rare Single Gene Mutation, Syndromic",1.0,1.0,2.35,15.0
UBE3A,ENSG00000114062,ENSP00000497572,1,9.0,UBE3A,ubiquitin protein ligase E3A,ENSG00000114062,15,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,,44.0
GNAI1,ENSG00000127955,ENSP00000497260,1,9.0,GNAI1,G protein subunit alpha i1,ENSG00000127955,7,"Rare Single Gene Mutation, Syndromic",1.0,1.0,2.1,5.0
CHD8,ENSG00000100888,ENSP00000495240,1,9.0,CHD8,chromodomain helicase DNA binding protein 8,ENSG00000100888,14,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,97.65,99.0
SHANK3,ENSG00000251322,ENSP00000489147,1,9.0,SHANK3,SH3 and multiple ankyrin repeat domains 3,ENSG00000251322,22,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,74.85,146.0
UBR1,ENSG00000159459,ENSP00000290650,1,9.0,UBR1,ubiquitin protein ligase E3 component n-recognin 1,ENSG00000159459,15,Rare Single Gene Mutation,1.0,0.0,1.6,3.0
TSHZ1,ENSG00000179981,ENSP00000464391,1,9.0,TSHZ1,teashirt zinc finger homeobox 1,ENSG00000179981,18,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,6.0
PPP2R5D,ENSG00000112640,ENSP00000417963,1,9.0,PPP2R5D,"Protein phosphatase 2, regulatory subunit B', delta",ENSG00000112640,6,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,8.5,31.0
PTK7,ENSG00000112655,ENSP00000230419,1,9.0,PTK7,Protein tyrosine kinase 7 (inactive),ENSG00000112655,6,Rare Single Gene Mutation,1.0,0.0,,8.0
RALGAPB,ENSG00000170471,ENSP00000262879,1,9.0,RALGAPB,Ral GTPase activating protein non-catalytic beta subunit,ENSG00000170471,20,Rare Single Gene Mutation,1.0,0.0,,6.0
TBR1,ENSG00000136535,ENSP00000374205,1,9.0,TBR1,"T-box, brain, 1",ENSG00000136535,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,,42.0
NLGN2,ENSG00000169992,ENSP00000305288,1,9.0,NLGN2,Neuroligin 2,ENSG00000169992,17,"Rare Single Gene Mutation, Functional",1.0,0.0,3.0,12.0
NRXN3,ENSG00000021645,ENSP00000338349,1,9.0,NRXN3,neurexin 3,ENSG00000021645,14,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,11.1,27.0
LZTR1,ENSG00000099949,ENSP00000496779,1,9.0,LZTR1,Leucine-zipper-like transcription regulator 1,ENSG00000099949,22,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,18.0
PAH,ENSG00000171759,ENSP00000448059,1,9.0,PAH,Phenylalanine hydroxylase,ENSG00000171759,12,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,11.0
EP300,ENSG00000100393,ENSP00000263253,1,9.0,EP300,E1A binding protein p300,ENSG00000100393,22,"Rare Single Gene Mutation, Syndromic",1.0,1.0,23.6,26.0
MAGEL2,ENSG00000254585,ENSP00000497810,1,9.0,MAGEL2,MAGE-like 2,ENSG00000254585,15,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,24.0
SOS2,ENSG00000100485,ENSP00000216373,1,9.0,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2,ENSG00000100485,14,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,6.0
EBF3,ENSG00000108001,ENSP00000387543,1,9.0,EBF3,early B-cell factor 3,ENSG00000108001,10,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,9.75,22.0
KDM5C,ENSG00000126012,ENSP00000364550,1,9.0,KDM5C,lysine demethylase 5C,ENSG00000126012,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,38.0
EIF3G,ENSG00000130811,ENSP00000253108,1,9.0,EIF3G,eukaryotic translation initiation factor 3 subunit G,ENSG00000130811,19,Rare Single Gene Mutation,1.0,0.0,1.5,5.0
FMR1,ENSG00000102081,ENSP00000359506,1,9.0,FMR1,fragile X mental retardation 1,ENSG00000102081,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,,66.0
ZMYND8,ENSG00000101040,ENSP00000420095,1,9.0,ZMYND8,zinc finger MYND-type containing 8,ENSG00000101040,20,"Rare Single Gene Mutation, Syndromic",1.0,1.0,4.5,8.0
NLGN3,ENSG00000196338,ENSP00000351591,1,9.0,NLGN3,neuroligin 3,ENSG00000196338,X,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,6.5,46.0
ACTB,ENSG00000075624,ENSP00000494750,1,9.0,ACTB,actin beta,ENSG00000075624,7,"Rare Single Gene Mutation, Syndromic",1.0,1.0,1.0,9.0
PACS1,ENSG00000175115,ENSP00000316454,1,9.0,PACS1,phosphofurin acidic cluster sorting protein 1,ENSG00000175115,11,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,1.35,18.0
DYNC1H1,ENSG00000197102,ENSP00000348965,1,9.0,DYNC1H1,dynein cytoplasmic 1 heavy chain 1,ENSG00000197102,14,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,13.45,32.0
GABRB2,ENSG00000145864,ENSP00000377531,1,9.0,GABRB2,gamma-aminobutyric acid type A receptor subunit beta2,ENSG00000145864,5,Rare Single Gene Mutation,1.0,0.0,0.3,5.0
TM9SF4,ENSG00000101337,ENSP00000381104,1,9.0,TM9SF4,transmembrane 9 superfamily member 4,ENSG00000101337,20,Rare Single Gene Mutation,1.0,0.0,0.5,4.0
ELAVL3,ENSG00000196361,ENSP00000352162,1,9.0,ELAVL3,ELAV like neuron-specific RNA binding protein 3,ENSG00000196361,19,Rare Single Gene Mutation,1.0,0.0,1.0,6.0
VEZF1,ENSG00000136451,ENSP00000462337,1,9.0,VEZF1,vascular endothelial zinc finger 1,ENSG00000136451,17,Rare Single Gene Mutation,1.0,0.0,0.5,3.0
ADNP,ENSG00000101126,ENSP00000483881,1,9.0,ADNP,Activity-dependent neuroprotector homeobox,ENSG00000101126,20,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,41.5,78.0
RFX3,ENSG00000080298,ENSP00000482598,1,9.0,RFX3,regulatory factor X3,ENSG00000080298,9,"Rare Single Gene Mutation, Syndromic",1.0,0.0,15.95,11.0
VPS13B,ENSG00000132549,ENSP00000349685,1,9.0,VPS13B,vacuolar protein sorting 13 homolog B (yeast),ENSG00000132549,8,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,6.35,29.0
KLHL20,ENSG00000076321,ENSP00000209884,1,9.0,KLHL20,kelch like family member 20,ENSG00000076321,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,4.0
IRF2BPL,ENSG00000119669,ENSP00000238647,1,9.0,IRF2BPL,Interferon regulatory factor 2 binding protein-like,ENSG00000119669,14,"Rare Single Gene Mutation, Syndromic",1.0,1.0,9.0,14.0
ARF3,ENSG00000134287,ENSP00000256682,1,9.0,ARF3,ADP ribosylation factor 3,ENSG00000134287,12,"Rare Single Gene Mutation, Syndromic",1.0,0.0,,5.0
UPF3B,ENSG00000125351,ENSP00000276201,1,9.0,UPF3B,"UPF3B, regulator of nonsense mediated mRNA decay",ENSG00000125351,X,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,17.0
GIGYF1,ENSG00000146830,ENSP00000503354,1,9.0,GIGYF1,GRB10 interacting GYF protein 1,ENSG00000146830,7,Rare Single Gene Mutation,1.0,0.0,17.25,20.0
SRPRA,ENSG00000182934,ENSP00000328023,1,9.0,SRPRA,SRP receptor subunit alpha,ENSG00000182934,11,Rare Single Gene Mutation,1.0,0.0,4.75,3.0
PSMD6,ENSG00000163636,ENSP00000295901,1,9.0,PSMD6,"proteasome 26S subunit, non-ATPase 6",ENSG00000163636,3,Rare Single Gene Mutation,1.0,0.0,,3.0
CASK,ENSG00000147044,ENSP00000367405,1,9.0,CASK,calcium/calmodulin dependent serine protein kinase,ENSG00000147044,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,27.0
SYNGAP1,ENSG00000197283,ENSP00000496007,1,9.0,SYNGAP1,synaptic Ras GTPase activating protein 1,ENSG00000197283,6,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,40.75,98.0
TLE3,ENSG00000140332,ENSP00000394717,1,9.0,TLE3,"TLE family member 3, transcriptional corepressor",ENSG00000140332,15,Rare Single Gene Mutation,1.0,0.0,,5.0
RELN,ENSG00000189056,ENSP00000392423,1,9.0,RELN,Reelin,ENSG00000189056,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,7.2,64.0
MECP2,ENSG00000169057,ENSP00000395535,1,9.0,MECP2,Methyl CpG binding protein 2,ENSG00000169057,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,106.65,122.0
KIAA0232,ENSG00000170871,ENSP00000303928,1,9.0,KIAA0232,KIAA0232,ENSG00000170871,4,Rare Single Gene Mutation,1.0,0.0,,4.0
KMT2C,ENSG00000055609,ENSP00000262189,1,9.0,KMT2C,Lysine (K)-specific methyltransferase 2C,ENSG00000055609,7,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,35.0
GRIN2A,ENSG00000183454,ENSP00000332549,1,9.0,GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",ENSG00000183454,16,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,3.6,59.0
MBD5,ENSG00000204406,ENSP00000493871,1,9.0,MBD5,Methyl-CpG binding domain protein 5,ENSG00000204406,2,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,46.6,43.0
KANSL1,ENSG00000120071,ENSP00000387393,1,9.0,KANSL1,KAT8 regulatory NSL complex subunit 1,ENSG00000120071,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,1.1,11.0
MED13L,ENSG00000123066,ENSP00000281928,1,9.0,MED13L,Mediator complex subunit 13-like,ENSG00000123066,12,"Rare Single Gene Mutation, Syndromic",1.0,1.0,35.0,53.0
USP9X,ENSG00000124486,ENSP00000367558,1,9.0,USP9X,ubiquitin specific peptidase 9 X-linked,ENSG00000124486,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,15.0
CACNA1A,ENSG00000141837,ENSP00000353362,1,9.0,CACNA1A,"Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",ENSG00000141837,19,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,1.0,,37.0
TCF7L2,ENSG00000148737,ENSP00000348274,1,9.0,TCF7L2,"Transcription factor 7-like 2 (T-cell specific, HMG-box)",ENSG00000148737,10,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,2.1,13.0
KDM6B,ENSG00000132510,ENSP00000412513,1,9.0,KDM6B,Lysine (K)-specific demethylase 6B,ENSG00000132510,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,13.75,21.0
CPSF7,ENSG00000149532,ENSP00000397203,1,9.0,CPSF7,cleavage and polyadenylation specific factor 7,ENSG00000149532,11,Rare Single Gene Mutation,1.0,0.0,,7.0
ANK3,ENSG00000151150,ENSP00000280772,1,9.0,ANK3,ankyrin 3,ENSG00000151150,10,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,7.3,32.0
MBOAT7,ENSG00000125505,ENSP00000245615,1,9.0,MBOAT7,membrane bound O-acyltransferase domain containing 7,ENSG00000125505,19,"Rare Single Gene Mutation, Syndromic",1.0,1.0,5.25,17.0
DDX3X,ENSG00000215301,ENSP00000494040,1,9.0,DDX3X,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked",ENSG00000215301,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,78.6,50.0
PPP1R9B,ENSG00000108819,ENSP00000478767,1,9.0,PPP1R9B,protein phosphatase 1 regulatory subunit 9B,ENSG00000108819,17,Rare Single Gene Mutation,1.0,0.0,1.5,4.0
SMARCA2,ENSG00000080503,ENSP00000265773,1,9.0,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",ENSG00000080503,9,"Rare Single Gene Mutation, Syndromic, Genetic Association",1.0,1.0,,28.0
IQSEC2,ENSG00000124313,ENSP00000495726,1,9.0,IQSEC2,IQ motif and Sec7 domain 2,ENSG00000124313,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,50.0
WAC,ENSG00000095787,ENSP00000346986,1,9.0,WAC,WW domain containing adaptor with coiled-coil,ENSG00000095787,10,"Rare Single Gene Mutation, Syndromic",1.0,1.0,15.0,29.0
CHD7,ENSG00000171316,ENSP00000392028,1,9.0,CHD7,chromodomain helicase DNA binding protein 7,ENSG00000171316,8,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,8.1,45.0
TLK2,ENSG00000146872,ENSP00000275780,1,9.0,TLK2,tousled-like kinase 2,ENSG00000146872,17,"Rare Single Gene Mutation, Syndromic",1.0,1.0,13.5,21.0
SIN3A,ENSG00000169375,ENSP00000378402,1,9.0,SIN3A,SIN3 transcription regulator family member A,ENSG00000169375,15,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,17.0
PCDH19,ENSG00000165194,ENSP00000362125,1,9.0,PCDH19,protocadherin 19,ENSG00000165194,X,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,56.0
STXBP1,ENSG00000136854,ENSP00000362396,1,9.0,STXBP1,Syntaxin binding protein 1,ENSG00000136854,9,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,19.1,70.0
PHF12,ENSG00000109118,ENSP00000329933,1,9.0,PHF12,PHD finger protein 12,ENSG00000109118,17,Rare Single Gene Mutation,1.0,0.0,9.5,4.0
ANP32A,ENSG00000140350,ENSP00000417864,1,9.0,ANP32A,acidic nuclear phosphoprotein 32 family member A,ENSG00000140350,15,"Rare Single Gene Mutation, Functional",1.0,0.0,,4.0
CIC,ENSG00000079432,ENSP00000505728,1,9.0,CIC,capicua transcriptional repressor,ENSG00000079432,19,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,18.7,13.0
DMPK,ENSG00000104936,ENSP00000291270,1,9.0,DMPK,dystrophia myotonica-protein kinase,ENSG00000104936,19,"Rare Single Gene Mutation, Syndromic",1.0,1.0,3.75,12.0
ANKRD11,ENSG00000167522,ENSP00000301030,1,9.0,ANKRD11,ankyrin repeat domain 11,ENSG00000167522,16,"Rare Single Gene Mutation, Syndromic",1.0,1.0,22.6,70.0
RIMS1,ENSG00000079841,ENSP00000428417,1,9.0,RIMS1,Regulating synaptic membrane exocytosis 1,ENSG00000079841,6,"Rare Single Gene Mutation, Genetic Association",1.0,0.0,11.35,10.0
ABCE1,ENSG00000164163,ENSP00000296577,1,9.0,ABCE1,ATP binding cassette subfamily E member 1,ENSG00000164163,4,Rare Single Gene Mutation,1.0,0.0,,3.0
DLG4,ENSG00000132535,ENSP00000382425,1,9.0,DLG4,discs large MAGUK scaffold protein 4,ENSG00000132535,17,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,2.45,23.0
GIGYF2,ENSG00000204120,ENSP00000362664,1,9.0,GIGYF2,GRB10 interacting GYF protein 2,ENSG00000204120,2,Rare Single Gene Mutation,1.0,0.0,,9.0
MEIS2,ENSG00000134138,ENSP00000453793,1,9.0,MEIS2,Meis homeobox 2,ENSG00000134138,15,"Rare Single Gene Mutation, Syndromic",1.0,1.0,7.5,12.0
GFAP,ENSG00000131095,ENSP00000466598,1,9.0,GFAP,glial fibrillary acidic protein,ENSG00000131095,17,Rare Single Gene Mutation,1.0,0.0,0.3,1.0
GRIN1,ENSG00000176884,ENSP00000360616,1,9.0,GRIN1,"Glutamate receptor, ionotropic, N-methyl D-aspartate 1",ENSG00000176884,9,"Rare Single Gene Mutation, Syndromic, Functional",1.0,0.0,,25.0
CHD2,ENSG00000173575,ENSP00000377747,1,9.0,CHD2,Chromodomain helicase DNA binding protein 2,ENSG00000173575,15,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,25.0,75.0
GABRB3,ENSG00000166206,ENSP00000308725,1,9.0,GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3",ENSG00000166206,15,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,0.0,,50.0
ASH1L,ENSG00000116539,ENSP00000376204,1,9.0,ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",ENSG00000116539,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,0.0,14.15,33.0
PTEN,ENSG00000171862,ENSP00000361021,1,9.0,PTEN,phosphatase and tensin homolog (mutated in multiple advanced cancers 1),ENSG00000171862,10,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,63.15,97.0
MAP1A,ENSG00000166963,ENSP00000300231,1,9.0,MAP1A,microtubule associated protein 1A,ENSG00000166963,15,Rare Single Gene Mutation,1.0,0.0,0.0,4.0
YY1,ENSG00000100811,ENSP00000262238,1,9.0,YY1,YY1transcription factor,ENSG00000100811,14,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1.0,,9.0
ZNF292,ENSG00000188994,ENSP00000358590,1,9.0,ZNF292,zinc finger protein 292,ENSG00000188994,6,"Rare Single Gene Mutation, Syndromic",1.0,1.0,,11.0
